STNAME,2006_E11,2006_E12,2006_E13,2006_E14,2006_E15,2006_E16,2006_E17,2006_E18,2006_E11A,2006_E11B,2006_E11C,2006_E11D,2006_E2
alabama,2175489042,785451414,88963202,2899939,463446,267903434,6410373,12374024,1547398697,270249489,103060191,31595980,54654671
alaska,551604528,223009277,49074469,,,42269974,7561600,8645424,,,,,
arizona,3434476964,634617858,156342973,6053177,19084602,159898431,125084667,26840242,,,,,
arkansas,1591695691,409857095,65222296,8077867,5541051,200079253,29174514,17153301,1049757024,161487476,82585855,128450991,41212967
california,21714002608,6906542947,1244453344,693884790,322128498,1682409648,36235279,3273287,16320132495,2471220681,128097647,713973610,423712993
colorado,2547089097,569916903,83895288,49376931,6386936,263930515,50750526,62780246,1834671034,300246185,82543325,85381602,58002963
connecticut,3107054505,1108456056,140708880,284136388,50356321,114910156,30961436,7075003,2027218289,329526257,34745503,103496895,
delaware,539576609,231696607,20142985,6776803,51426965,40626996,3038210,9439002,334621519,103399476,16033739,20333887,8807130
district of columbia,347191986,41199792,17803211,140103284,,4450500,19995979,,194712000,33896736,3936198,13214232,4412988
florida,8030592580,2222370951,1401906889,666407,,601227999,130252063,95981694,4699901623,1827213910,222125308,367874059,233731718
georgia,6115822367,1789070512,163430697,4983110,2886658,491762616,41129230,33832015,4149371726,969564700,181022573,181483288,111666270
hawaii,691901586,244469276,52251650,4552629,,60357172,20960563,23818262,355045179,99086756,5090905,71489992,8455334
idaho,728449510,233496487,34031597,605753,281944,47897561,12395909,302914,579327977,103708787,6191362,36265917,
illinois,8140977371,2154574795,391569226,220610159,569386206,406843281,114337306,14861117,,,,,
indiana,3526275076,1744739759,72571056,20749,41420769,193509786,17051008,13805693,,,,,
iowa,1731958131,524069454,45511271,19795278,187969644,89929720,20976996,2720346,1104860970,261569176,74200262,154147689,26597239
kansas,1790934320,404457667,66163121,1861098,7326721,140701088,88083364,15530442,,,,,
kentucky,2205061272,709455584,51924444,232147,3560369,121934244,41216360,13710344,1599899086,330889420,17805532,21312993,39076233
louisiana,2177515055,793923146,49281884,957997,2046053,196927221,43876756,19993165,1308659309,335483579,66626596,194091766,53905832
maine,887880433,322399268,58272341,74579879,100750540,42613566,13328916,7492803,632136829,148994008,13191284,11768025,9245998
maryland,3847723974,1341982203,122410365,237608272,2813582,192332287,42109253,7533032,2515309919,485432066,93873328,130422512,61196640
massachusetts,4884789590,2013601443,40438479,396585490,101085864,185202654,11291898,17353621,3060084861,613917198,187181167,40463293,127319080
michigan,5968872406,2744178730,426490836,,23303683,280225935,52011472,23178535,4136847804,774892333,133593062,214664467,70878391
minnesota,3492567954,1021261639,194867536,51404808,282881332,177386645,53145525,12337531,2126026406,530777351,71160045,52579056,46857882
mississippi,1492214268,421902312,43733783,4331027,1325985,127044570,32185303,8926671,958317520,205043309,78531250,81602491,31871026
missouri,3274032687,787573625,151284513,9572266,86150390,359691945,55753654,25212973,2210827287,482604017,84644597,239514324,105683404
montana,503417005,140879671,49564326,536373,2242332,60652928,5947410,2735674,403829086,39041177,17201830,1249853,8761931
nebraska,1169219902,384264894,58404990,15082587,10260111,56944949,20607356,13214889,893132765,191019756,,11246019,15303035
nevada,1161262391,397973364,33122053,878834,110286,136250514,33508470,79961640,919592268,211641197,18631300,11493484,44005373
new hampshire,884469985,304916433,36413808,112671520,104411104,39495472,12575616,2670746,,,,,
new jersey,7989985044,2880659497,352825677,549944054,722947640,432088063,24819684,121056819,5166226178,1346143258,132031077,334647464,86724420
new mexico,1071393749,312391530,42223190,,,109054134,9730337,140515,783788620,218147150,8515241,13392332,32281707
new york,18794178144,7301788914,1334517974,251214102,471492726,776976908,123493721,3901228,,,,,
north carolina,4799375411,1105230924,140219219,,2858962,429170710,33023349,6358517,3539036285,987046974,244684833,28607320,107996012
north dakota,373357663,101422230,17136877,1913943,52591558,24275927,9313591,3213329,239170575,58418931,20019501,25193286,
ohio,6862710364,2206199038,454417014,137903635,761026835,406197576,134414369,141193998,4616527763,1177532775,329834345,222871,95628740
oklahoma,1798102596,462597741,33548358,,5992136,196181231,12781376,7008761,1131911867,169920649,47723221,194339327,42898720
oregon,1718148370,777834613,109828586,21690679,47353436,160561262,6126424,13601178,1099297248,149349836,37875795,63714767,27552108
pennsylvania,7929952469,2678663248,737825105,222163860,1495495921,469148280,109984015,19179183,5733152196,1448059156,282923512,460013649,198807146
rhode island,772229261,286267902,12563143,68900607,38790581,23096631,9714285,1308870,543341494,126567150,13109905,38914740,4521850
south carolina,2362086449,646438282,102455882,440364,12849510,177539571,29823128,28025229,1783705747,454842251,92433179,31105272,34966606
south dakota,373392954,102665766,24665326,6202556,2967859,41603875,7912328,1280409,271309174,30899904,10615356,14226912,8151797
tennessee,2967408090,799329515,78649686,249121,540637,435700075,60804856,13682287,2333336726,443422595,133251017,57397752,59768109
texas,15509624487,2445856297,639393192,53355756,27098338,1303392472,111142652,179262267,,,,,42923497
utah,1156630100,471405133,32342326,344363,870011,91000869,28231840,3926428,746856671,130990308,58039109,80875338,25122579
vermont,499245717,166570052,42162205,56113872,338694362,21655160,8938133,2040810,366066446,63975659,16385434,26078648,5050770
virginia,5024000249,1496214380,158480232,5367699,260381247,337415821,103348616,4411671,3217586449,914421991,220984901,108160537,110618555
washington,3440701988,947238421,235815937,9630398,19604474,206836779,23300588,36070683,2199020244,212085787,141811035,417909276,
west virginia,973076963,500483266,27240984,707677,701466,87742156,7993587,225124,622795084,142050734,43733100,2474513,28475580
wisconsin,3396492808,1597047438,74044115,92406831,152055347,181994730,50688253,10475944,2575519452,649483492,163922406,,35391247
wyoming,378853321,134204090,22954304,683760,5870121,34094725,10632455,1020234,250048779,66151305,11173130,12306192,5093107
