STNAME,2010_R1A,2010_R1B,2010_R1C,2010_R1D,2010_R1E,2010_R1F,2010_R1G,2010_R1H,2010_R1I,2010_R1J,2010_R1K,2010_R1L,2010_R1M,2010_R1N,2010_R2,2010_R3,2010_R4A,2010_R4B,2010_R4C,2010_R4D,2010_R5
alabama,,,1066021960,510878707,4089031,447497,,68041,24867476,131231168,178530095,327971818,1211133,,26720185,3800153264,19420093,1124843535,332455,23419758,479515327
alaska,,,264898857,176461847,128736,197429,,,8362269,12385838,10018746,34323746,,,,1461906360,39328351,200116975,3880492,126403204,
arizona,3236621487,,,39250995,623204,23264158,231030,559826,27181631,112334694,106910039,505073847,713490,7425288,244178881,3896117202,24003209,1692185717,1282525,175826078,517278514
arkansas,1404473211,2326573,,3566662,8232474,4510065,72620,548162,23411699,55612046,77462685,76847733,13378,249293,2442736,2686230835,27293872,777093454,,15071643,258994335
california,16379820724,692642827,168400,,347461,289113426,19114777,38973491,422961228,457132827,,2559558982,,,,34743248852,449367225,8146441881,26262699,233174056,11503454360
colorado,3453889419,54383205,,,61940236,5344187,5770364,152484,29338736,97073695,149290578,388426476,3143325,2992850,15970646,3860026474,71842282,648824156,,9696761,600529742
connecticut,,,5410540722,,4408494,191783486,,11734362,122505,114355944,,46951515,,672931,,3463789585,38476754,802970022,,13198617,606773670
delaware,439792794,,,,,56601963,,,4877064,16385131,727316,57797489,,,,1046317231,7640037,208423150,,2141189,179274061
district of columbia,,,600285240,900427861,819877,,117985,,132472,1815826,7167530,52331835,406,1615963,,,2842846,152663303,,696218,3667352
florida,11545455556,,,,631567,,11116922,7262782,106235947,322163722,710255964,942541785,1775221,,,8216579182,213137678,3937297231,,49666007,773060931
georgia,5870835793,1645037156,157278753,,21860972,4032157,2991951,,40747506,210107090,221377391,252197472,27837,2858379,,6764686433,43404584,2525533560,,76846542,397205031
hawaii,,,,,,,,,,22428931,948294,63880526,,1898793,,2093298815,97377519,236263675,,48758069,63263012
idaho,395012254,2946806,,,2396639,296504,1442455,,4763277,28370116,2582963,38018974,,,,1284139447,18125214,438872746,,5868580,109404474
illinois,14652215668,605986670,,,22211126,460904136,6721862,20892411,148932945,262952907,82455174,831429664,97933045,22086213,,8021217158,100852808,3358454291,,49609810,3273394238
indiana,3948110091,6615142,294627145,90298654,7095392,17807690,316881,3515516,19540862,204321728,63327002,982389587,57536920,,12970465,6441407897,14452966,1409107732,4588049,84988047,394386309
iowa,1775152288,525053075,,,8296177,208063190,2188828,1604180,18813860,111814054,8565312,114550499,11739002,1358851,2154389,2217893029,20942272,698649994,8511032,15457713,1167137460
kansas,1532464194,,,,4768013,263908090,570886,,12682638,87869839,10582501,186045957,11586420,1690827,103674554,2893516566,7130835,620911014,,13577068,415760000
kentucky,1529686732,388280254,,32085921,4175056,861994,836,50251,22522572,107806617,1112771,64099434,1179329,,,3582405778,43469607,1058914038,13771644,23775498,853140662
louisiana,1302572403,1544742795,,,12605754,1809103,35570,670392,40355926,52713585,,154845362,360940,2442409,,3533026361,66281941,1489480215,,16509888,1249522203
maine,675489933,,501067159,259937,4077223,44172453,38787,1376731,1356367,34464652,1608534,25427795,114624,176240,1091288,1079329515,13041703,293945423,6939910,1350282,78107946
maryland,,,3223728956,3163560687,12122940,5838207,1757763,,2331027,115426444,155964447,90281892,,3668065,,5544364296,25846456,948280360,44299157,20878697,159630006
massachusetts,,,7428177482,,3683677,146772369,1040324,,2188921,160536496,35769993,262042800,,24850841,,6476419816,48238258,1036475486,76945647,13864594,3040462
michigan,5476292031,9967180,563114,14210802,23030068,52113690,11402380,40763205,37370586,201331630,61971310,460694024,,2488155,9404753,10516655062,72653168,2355343922,106070067,41731613,1850820488
minnesota,1918305358,,,,94758520,159750501,2901885,,84841861,193165653,29708660,502731657,,,177084971,6309625121,54082940,1251902092,,20142189,1161931155
mississippi,1101205593,2449351,,19227522,3703074,4275917,810620,549278,31322259,57316912,51173609,119349068,,617304,1454012,2109083128,36769214,899415824,,9785676,15488565
missouri,4444318911,548285033,,,25648089,73806118,667121,5525310,98181657,151661816,171627255,189881723,,,39635627,2971264926,58633236,1457306186,,,878663416
montana,376484900,4178768,,,1764869,2248124,131532,583616,8212212,20087671,37475597,23727859,277782,516064,130125721,753975861,16400737,195549116,,47353664,32608996
nebraska,1762544751,23398786,,,1684000,4671761,50949,56244,8087284,69291659,79718473,37259557,,623967,21301625,1220465955,26328437,427722905,6222517,9228678,58783763
nevada,1428812004,981997046,,2517210,7488729,70479,772203,2731,21500177,31905224,1490697,58000576,,1759803,,1406630016,12405848,345723815,843547,8167120,150351630
