STNAME,2009_DRP912,2009_DRP9,2009_DRP10,2009_DRP11,2009_DRP12,2009_DRPAM,2009_DRPAS,2009_DRPHI,2009_DRPBL,2009_DRPWH
alabama,1.5,1.2999992370605469,1.5999994277954102,1.6999998092651367,1.5,1.1999998092651367,0.6999998092651367,1.5999994277954102,1.6999998092651367,1.3999996185302734
alaska,7.0,3.69999885559082,5.3999977111816415,9.399993896484377,9.5,1.1999998092651367,,0.19999992847442627,0.5,0.19999992847442627
arizona,8.299995422363281,8.0,6.299999237060548,7.8999977111816415,11.0,12.899993896484375,5.0,10.199996948242188,10.099998474121094,6.099998474121094
arkansas,4.099998474121094,2.299999237060547,3.69999885559082,5.199996948242188,5.599998474121094,4.5,3.799999237060547,4.699996948242188,5.699996948242188,3.5
california,5.0,2.5,3.0,4.099998474121094,11.0,6.799999237060548,2.399999618530273,6.199996948242188,9.199996948242188,3.1999988555908203
colorado,6.099998474121094,4.099998474121094,4.5,6.299999237060548,10.0,12.29999542236328,3.399999618530273,11.399993896484375,9.599998474121094,3.69999885559082
connecticut,3.0999984741210938,2.6999988555908203,2.799999237060547,3.299999237060547,3.5999984741210938,2.399999618530273,0.8999996185302734,7.3999977111816415,6.799999237060548,1.3999996185302734
delaware,5.099998474121094,6.099998474121094,5.299999237060547,4.3999977111816415,4.3999977111816415,5.3999977111816415,2.299999237060547,6.599998474121094,6.8999977111816415,4.099998474121094
district of columbia,7.0,8.099998474121094,5.8999977111816415,4.199996948242188,4.0,,5.299999237060547,8.299995422363281,6.8999977111816415,4.799999237060547
florida,2.5999984741210938,2.399999618530273,2.5999984741210938,2.6999988555908203,2.899999618530273,2.899999618530273,0.8999996185302734,3.0,4.299999237060547,1.7999992370605469
georgia,4.199996948242188,4.5,4.599998474121094,4.299999237060547,3.299999237060547,2.299999237060547,1.7999992370605469,4.699996948242188,5.299999237060547,3.399999618530273
hawaii,4.8999977111816415,3.5,5.3999977111816415,5.299999237060547,5.699996948242188,6.599998474121094,4.599998474121094,4.799999237060547,4.599998474121094,5.299999237060547
idaho,1.5999994277954102,1.0,1.3999996185302734,2.0,2.1999988555908203,2.6999988555908203,2.0,3.0999984741210938,1.2999992370605469,1.3999996185302734
illinois,11.5,11.699996948242188,10.399993896484377,9.899993896484377,13.899993896484375,15.29999542236328,8.199996948242188,13.399993896484375,20.0,8.0
indiana,1.6999998092651367,0.5999999046325684,1.0,1.8999996185302732,3.5999984741210938,3.0,1.0,2.299999237060547,2.6999988555908203,1.5
iowa,3.0999984741210938,0.7999997138977051,1.6999998092651367,3.299999237060547,6.699996948242188,6.0,2.399999618530273,5.299999237060547,7.8999977111816415,2.6999988555908203
kansas,2.0999984741210938,1.0999994277954102,1.8999996185302732,2.299999237060547,3.0999984741210938,3.0,1.2999992370605469,3.0,3.0999984741210938,1.7999992370605469
kentucky,2.899999618530273,2.1999988555908203,3.0,3.5,2.899999618530273,3.0,2.1999988555908203,4.0,4.799999237060547,2.5999984741210938
louisiana,6.799999237060548,8.199996948242188,6.5,5.8999977111816415,6.099998474121094,6.599998474121094,3.0999984741210938,8.5,9.399993896484377,4.699996948242188
maine,3.5999984741210938,0.8999996185302734,1.6999998092651367,3.0999984741210938,8.699996948242188,8.899993896484375,2.799999237060547,4.3999977111816415,4.5,3.5
maryland,3.0,3.1999988555908203,3.1999988555908203,2.6999988555908203,2.799999237060547,5.299999237060547,1.0999994277954102,4.099998474121094,3.8999996185302734,2.299999237060547
