STNAME,2007_E212,2007_E213,2007_E214,2007_E215,2007_E216,2007_E217,2007_E218,2007_E222,2007_E223,2007_E224,2007_E225,2007_E226,2007_E227,2007_E228,2007_E232,2007_E233,2007_E234,2007_E235,2007_E236,2007_E237,2007_E238,2007_E242,2007_E243,2007_E244,2007_E245,2007_E246,2007_E247,2007_E248,2007_E252,2007_E253,2007_E254,2007_E255,2007_E256,2007_E257,2007_E258,2007_E262,2007_E263,2007_E264,2007_E265,2007_E266,2007_E267,2007_E268
alabama,191608576,177829517,67583945,264651864,161420914,138037529,58838872,69611377,61006929,20114324,94179108,81809632,90122289,21210442,33827080,34599002,20969653,14257608,96016320,27739280,30516820,32590570,27530430,2779701,11447766,225972699,42409222,15148212,1818551,414314,203073,301587,5353916,60790659,1678961,3039157,3587941,52316216,1855346,148773,54552,2764651
alaska,63148780,45896470,10269839,62380029,60570438,5986411,28005309,29215796,20291982,4857587,30119249,32532136,3435714,14839895,9694252,15539268,6532209,3131120,47951499,44113687,14376611,2382546,8946265,623647,1613612,75182721,1836148,1926779,367385,4105699,141906,329057,1787048,545643,1262908,897625,456329,1449941,241432,89233,15588,844945
arizona,288817574,130253917,53206272,279831030,272190346,146821712,148477989,79127750,33639683,13741145,70519877,83752338,45423138,57036938,47265101,16938894,38752723,22225753,230244793,53004967,75593777,16250951,4642864,2796822,6412686,242982056,45005385,19502467,4620472,21756525,3392934,3000686,39257769,51089597,19546915,123031115,436775,15573016,3078005,29525734,2907558,20220613
arkansas,129018148,165367369,58335399,166220588,125378571,74149887,52690280,31907875,39307022,16570400,41264452,34777077,19245516,15452412,22299908,43783955,12973384,2713068,102410527,21852563,15513379,5449956,35002178,3966387,4123100,118331925,30036827,13769146,835213,10193609,786303,640408,12876096,26256232,5797047,356992,2566086,11606970,627553,1375635,493194,3097421
california,1889316977,2216587314,267225536,2721726633,2237676118,554923054,1323279454,577097120,672561571,99896937,871606835,857194878,225778278,509079155,224431239,701978530,161028146,166683591,1209956337,481596701,514186457,40237421,221267493,12965855,92948501,1562911435,143765855,133849467,1514273,11011021,407849,16376703,55667853,53841161,45007525,241497,2720151,10457077,1678661,204229,93155,6401557
colorado,216959376,218070586,48315324,327401235,244804992,120606047,155158805,52461115,52435213,10913570,79249810,65727341,31988020,37466506,21022078,51596141,45509064,19675923,180265603,17745709,246979907,6570470,24856120,3622345,14209053,170930457,24301216,23453147,1610713,7885201,1676765,6218395,15153968,22641253,35577847,642466,3426761,4551278,5617996,614358,400296,4513251
connecticut,322008072,144706203,77226295,306743969,267423561,24096454,91602542,113023031,50189009,32041807,108249337,100898457,10092310,35589722,34531598,34710782,38199840,16740342,206807745,331731195,43314183,5282641,24615639,4564887,8217888,181140532,15699683,5660811,984344,9116439,2509962,3813106,39620875,2319037,6081194,2104514,2084721,4855127,1749495,3422520,274565,4633202
delaware,45189579,12548562,8532234,52874704,47399325,17284966,36731028,20046751,5492128,3717946,23529042,21027061,9946742,16055937,7345614,6584,5187417,3737801,68590130,60904000,30336342,396915,1776875,272938,423474,6352124,2764192,2555512,993912,12864,803,103983,3366663,5126068,45835,,,,,,,2555146
district of columbia,39156587,39247973,15416870,52842115,55240041,53829400,21088209,4056860,4314247,2433101,6533235,10284274,12543239,3972744,18379737,31763287,7947281,621316,33911849,12707765,29370248,1132446,2381004,402128,1522286,51374413,5433062,2810632,111546,5095309,186297,119490,1487726,5953702,3290639,,,,,,,
florida,757063813,983755497,91286635,975530531,820410301,497586022,328550196,220705800,271990485,31902769,280567291,308630160,199012964,98549710,63972409,140753537,42262407,19398796,599142732,103885992,169613247,18131137,117317262,3355795,19970548,761491046,139988992,28651686,7678043,11101171,1599592,9389607,18299337,6894243,4638818,1957813,20029301,52634129,3116508,40064231,12993669,15027817
